"sum","crop_year","crop_state","crop"
"29.9498596991319654",2017,"Uttarakhand","Maize"
"18.5503474218430087",2007,"Himachal Pradesh","Rice"
"5.8023272822660286",2012,"Himachal Pradesh","Urad"
"283.1888936287604370",2004,"Bihar","Maize"
"82.0390480265001554",2014,"Punjab","Rice"
"50.5064663059661895",2015,"Telangana","Rice"
"19.6684966222613585",2006,"Uttarakhand","Maize"
"18.9980243989734891",2017,"Jharkhand","Moong(Green Gram)"
"29.9562050752499143",2001,"Uttarakhand","Rice"
"46.8134920634920636",2016,"Punjab","Maize"
"22.4400288025508890",2006,"Chhattisgarh","Rice"
"141.7306156895496543",2000,"Bihar","Rice"
"7.1685059414409385",1998,"Punjab","Moong(Green Gram)"
"2.9166666666666666",2007,"Punjab","Urad"
"23.3379626976775617",1998,"Bihar","Urad"
"8.9256421912003695",2007,"Chhattisgarh","Urad"
"25.1334972126579477",2016,"Himachal Pradesh","Maize"
"13.2973940384656732",2012,"Chhattisgarh","Moong(Green Gram)"
"17.0528323030750789",1999,"Himachal Pradesh","Rice"
"23.9229400989026435",2004,"Arunachal Pradesh","Maize"
"4.0384615384615384",2015,"Uttarakhand","Moong(Green Gram)"
"16.7148035356527988",2016,"Arunachal Pradesh","Moong(Green Gram)"
"5.5300690191900376",2003,"Uttarakhand","Urad"
"5.4312770815778321",1999,"Himachal Pradesh","Urad"
"8.5267536066790282",2007,"Chhattisgarh","Moong(Green Gram)"
"32.2843599391857130",2003,"Uttarakhand","Rice"
"20.0137794297041194",2008,"Tamil Nadu","Urad"
"9.6982968424987999",2009,"Uttarakhand","Urad"
"48.6870057142600319",2014,"Chhattisgarh","Maize"
"3.4444444444444444",2008,"Punjab","Urad"
"6.1401485362553267",2006,"Himachal Pradesh","Urad"
"6.4027457241407483",2000,"Uttarakhand","Urad"
"30.1007420717602347",2007,"Jharkhand","Maize"
"419.8578300408987737",2013,"Bihar","Maize"
"19.2710238511891063",2006,"Himachal Pradesh","Rice"
"106.0224080848392897",2007,"Tamil Nadu","Maize"
"34.4829898882125483",2017,"Uttarakhand","Rice"
"13.0468738115412182",2000,"Tamil Nadu","Moong(Green Gram)"
"68.7854988062641867",2015,"Telangana","Maize"
"11.7043650793650793",2008,"Punjab","Moong(Green Gram)"
"64.4176804025292505",2004,"Punjab","Rice"
