,State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
6379,Bihar,AURANGABAD,Maize,2001,Rabi,3.0,Hectare,10.0,Tonnes,3.3333333333333335
6380,Bihar,AURANGABAD,Maize,2001,Summer,4.0,Hectare,10.0,Tonnes,2.5
6381,Bihar,AURANGABAD,Maize,2002,Autumn,505.0,Hectare,548.0,Tonnes,1.0851485148514852
6382,Bihar,AURANGABAD,Maize,2002,Rabi,35.0,Hectare,91.0,Tonnes,2.6
6383,Bihar,AURANGABAD,Maize,2002,Summer,3.0,Hectare,9.0,Tonnes,3.0
6384,Bihar,AURANGABAD,Maize,2003,Kharif,418.0,Hectare,714.0,Tonnes,1.708133971291866
6385,Bihar,AURANGABAD,Maize,2003,Rabi,20.0,Hectare,61.0,Tonnes,3.05
6386,Bihar,AURANGABAD,Maize,2003,Summer,20.0,Hectare,55.0,Tonnes,2.75
6387,Bihar,BANKA,Maize,2001,Autumn,7921.0,Hectare,13007.0,Tonnes,1.6420906451205657
6388,Bihar,BANKA,Maize,2001,Rabi,2642.0,Hectare,3025.0,Tonnes,1.1449659348978047
6389,Bihar,BANKA,Maize,2001,Summer,2779.0,Hectare,8954.0,Tonnes,3.2220223101835193
6390,Bihar,BANKA,Maize,2002,Autumn,9526.0,Hectare,11735.0,Tonnes,1.231891664917069
6391,Bihar,BANKA,Maize,2002,Rabi,1624.0,Hectare,3501.0,Tonnes,2.1557881773399017
6392,Bihar,BANKA,Maize,2002,Summer,2449.0,Hectare,6383.0,Tonnes,2.606369946917109
6393,Bihar,BANKA,Maize,2003,Kharif,8371.0,Hectare,19547.0,Tonnes,2.3350854139290407
6394,Bihar,BANKA,Maize,2003,Rabi,1484.0,Hectare,4642.0,Tonnes,3.128032345013477
6395,Bihar,BANKA,Maize,2003,Summer,3281.0,Hectare,8938.0,Tonnes,2.724169460530326
6396,Bihar,BEGUSARAI,Maize,2001,Autumn,41334.0,Hectare,66483.0,Tonnes,1.608433734939759
6397,Bihar,BEGUSARAI,Maize,2001,Rabi,17557.0,Hectare,51266.0,Tonnes,2.9199749387708605
6398,Bihar,BEGUSARAI,Maize,2001,Summer,3557.0,Hectare,8637.0,Tonnes,2.4281698060163057
6399,Bihar,BEGUSARAI,Maize,2002,Autumn,40819.0,Hectare,54458.0,Tonnes,1.3341336142482667
6400,Bihar,BEGUSARAI,Maize,2002,Rabi,18009.0,Hectare,33299.0,Tonnes,1.8490199344772056
6401,Bihar,BEGUSARAI,Maize,2002,Summer,3641.0,Hectare,9901.0,Tonnes,2.7193078824498764
6402,Bihar,BEGUSARAI,Maize,2003,Kharif,40362.0,Hectare,76611.0,Tonnes,1.898097220157574
6403,Bihar,BEGUSARAI,Maize,2003,Rabi,16840.0,Hectare,37284.0,Tonnes,2.2140142517814727
6404,Bihar,BEGUSARAI,Maize,2003,Summer,3675.0,Hectare,11057.0,Tonnes,3.0087074829931972
6405,Bihar,BHAGALPUR,Maize,2001,Autumn,27953.0,Hectare,65591.0,Tonnes,2.346474439237291
6406,Bihar,BHAGALPUR,Maize,2001,Rabi,8224.0,Hectare,36087.0,Tonnes,4.388010700389105
6407,Bihar,BHAGALPUR,Maize,2001,Summer,7364.0,Hectare,23749.0,Tonnes,3.2250135795763173
6408,Bihar,BHAGALPUR,Maize,2002,Autumn,27812.0,Hectare,51263.0,Tonnes,1.8431971810729184
6409,Bihar,BHAGALPUR,Maize,2002,Rabi,8737.0,Hectare,16059.0,Tonnes,1.838045095570562
6410,Bihar,BHAGALPUR,Maize,2002,Summer,9522.0,Hectare,24636.0,Tonnes,2.587271581600504
6411,Bihar,BHAGALPUR,Maize,2003,Kharif,29353.0,Hectare,51402.0,Tonnes,1.7511668313289954
6412,Bihar,BHAGALPUR,Maize,2003,Rabi,10882.0,Hectare,23157.0,Tonnes,2.1280095570667155
6413,Bihar,BHAGALPUR,Maize,2003,Summer,9383.0,Hectare,25896.0,Tonnes,2.7598848982201853
6414,Bihar,BHOJPUR,Maize,2001,Autumn,2573.0,Hectare,3174.0,Tonnes,1.2335794792071513
6415,Bihar,BHOJPUR,Maize,2001,Rabi,6.0,Hectare,9.0,Tonnes,1.5
6416,Bihar,BHOJPUR,Maize,2001,Summer,244.0,Hectare,503.0,Tonnes,2.0614754098360657
6417,Bihar,BHOJPUR,Maize,2002,Autumn,2549.0,Hectare,4722.0,Tonnes,1.8524911730090232
6418,Bihar,BHOJPUR,Maize,2002,Rabi,6.0,Hectare,13.0,Tonnes,2.1666666666666665
6419,Bihar,BHOJPUR,Maize,2002,Summer,244.0,Hectare,695.0,Tonnes,2.848360655737705
6420,Bihar,BHOJPUR,Maize,2003,Kharif,2538.0,Hectare,2016.0,Tonnes,0.7943262411347518
6421,Bihar,BHOJPUR,Maize,2003,Rabi,7.0,Hectare,18.0,Tonnes,2.5714285714285716
6422,Bihar,BHOJPUR,Maize,2003,Summer,755.0,Hectare,2163.0,Tonnes,2.8649006622516557
6423,Bihar,BUXAR,Maize,2001,Autumn,1295.0,Hectare,2195.0,Tonnes,1.694980694980695
