State,Crop,Year,Yield
Bihar,Maize,1970,1.2253731343283585
Bihar,Maize,1970,2.118353344768439
Bihar,Maize,1970,2.8098908156711624
Bihar,Maize,1970,1.3315192743764173
Bihar,Maize,1970,2.602719033232628
Bihar,Maize,1970,2.67235926628716
Bihar,Maize,1970,1.209361163820367
Bihar,Maize,1970,3.3191489361702127
Bihar,Maize,1970,2.4794520547945207
Bihar,Maize,1970,1.100666666666667
Bihar,Maize,1970,2.608695652173913
Bihar,Maize,1970,2.739130434782609
Bihar,Maize,1970,1.7091503267973855
Bihar,Maize,1970,3.03125
Bihar,Maize,1970,2.818815331010453
Bihar,Maize,1970,1.4398174557900745
Bihar,Maize,1970,4.243049633293536
Bihar,Maize,1970,2.671275492568268
Bihar,Maize,1970,4.523483030510799
Bihar,Maize,1970,3.539044992242717
Bihar,Maize,1970,2.8677977490341005
Bihar,Maize,1970,1.2867420349434735
Bihar,Maize,1970,1.72901023890785
Bihar,Maize,1970,2.100347739692002
Bihar,Maize,1970,1.6582278481012658
Bihar,Maize,1970,1.463882618510158
Bihar,Maize,1970,2.2429949471750117
Bihar,Maize,1970,1.5949312092686458
Bihar,Maize,1970,2.100653594771242
Bihar,Maize,1970,2.451859229747676
Bihar,Maize,1970,1.3382469070808107
Bihar,Maize,1970,2.602564102564102
Bihar,Maize,1970,2.856261343012704
Bihar,Maize,1970,0.0717515234912522
Bihar,Maize,1970,4.1120605126768455
Bihar,Maize,1970,2.6138451443569553
Bihar,Maize,1970,2.553781512605042
Bihar,Maize,1970,3.8840115347644986
Bihar,Maize,1970,3.067659574468085
Bihar,Maize,1970,2.8374188896899786
Bihar,Maize,1970,5.368961493582264
Bihar,Maize,1970,2.251101321585903
Bihar,Maize,1970,1.732723197609264
Bihar,Maize,1970,2.62699743974574
Bihar,Maize,1970,2.5641040040433536
Bihar,Maize,1970,1.8752003016306908
Bihar,Maize,1970,2.493960646795246
Bihar,Maize,1970,2.1830460085648404
Bihar,Maize,1970,2.1552257266542982
Bihar,Maize,1970,2.684972629348402
Bihar,Maize,1970,2.32413714804723
Bihar,Maize,1970,1.693103448275862
Bihar,Maize,1970,1.4
Bihar,Maize,1970,2.8333333333333335
Bihar,Maize,1970,1.5711947626841245
Bihar,Maize,1970,2.2
Bihar,Maize,1970,2.8333333333333335
